管理都道府県・整備局,管理市区町村,公園名,公園種別,所在地都道府県名,所在地市区町村名,供用開始年,供用済面積（m2）,都市計画決定,備考,lat,lon,type
栃木県,宇都宮市,さつき４号児童公園,街区公園,栃木県,宇都宮市,1976,475.0,決定,,36.49066949,139.85890632,small
栃木県,宇都宮市,開拓児童公園,街区公園,栃木県,宇都宮市,1976,660.0,未決定,,36.58694714,139.85983628,small
栃木県,宇都宮市,上戸祭４丁目もくせい児童公園,街区公園,栃木県,宇都宮市,1976,215.0,未決定,,36.5994001,139.85781805,small
栃木県,宇都宮市,北久保児童公園,街区公園,栃木県,宇都宮市,1976,213.0,未決定,,36.57366741,139.9243543,small
栃木県,宇都宮市,元今泉１号児童公園,街区公園,栃木県,宇都宮市,1976,161.0,未決定,,36.56081696,139.90156961,small
栃木県,宇都宮市,元今泉２号児童公園,街区公園,栃木県,宇都宮市,1976,223.0,未決定,,36.56399856,139.90042968,small
栃木県,宇都宮市,東宿郷１号児童公園,街区公園,栃木県,宇都宮市,1976,241.0,未決定,,36.55760488,139.90239993,small
栃木県,宇都宮市,東宿郷２号児童公園,街区公園,栃木県,宇都宮市,1976,520.0,未決定,,36.55680134,139.90847205,small
栃木県,宇都宮市,上細谷児童公園,街区公園,栃木県,宇都宮市,1977,214.0,未決定,,36.60059364,139.85136032,small
栃木県,宇都宮市,下細谷児童公園,街区公園,栃木県,宇都宮市,1977,150.0,未決定,,36.58138963,139.85073635,small
栃木県,宇都宮市,茂原台児童公園,街区公園,栃木県,宇都宮市,1978,427.0,未決定,,36.48067315,139.87745524,small
栃木県,宇都宮市,西の宮２号児童公園,街区公園,栃木県,宇都宮市,1978,654.0,決定,,36.5765639,139.83743665,small
栃木県,宇都宮市,桜台１号児童公園,街区公園,栃木県,宇都宮市,1978,473.0,未決定,,36.5541822,139.9352083,small
栃木県,宇都宮市,下栗台児童公園,街区公園,栃木県,宇都宮市,1978,435.0,未決定,,36.53070123,139.91313522,small
栃木県,宇都宮市,並木台１号児童公園,街区公園,栃木県,宇都宮市,1978,541.0,未決定,,36.60821362,139.85552465,small
栃木県,宇都宮市,並木台２号児童公園,街区公園,栃木県,宇都宮市,1978,666.0,未決定,,36.60901906,139.85499119,small
