,station_g_cd,line,pref,mun,post,address,lat,lon,line_num,crime_rate,census_0~6age_rate,census_6~18age_rate,city_park_small,city_park_middle,city_park_large,med_hospital,med_clinic_all,med_clinic_pediatrics,school_primary,school_junior_high,education_nursery,shopping_supermarket,shopping_shopping_mall,shopping_convenience_store,shopping_baby_goods_store,restaurant_num,time_tokyo,transfer_tokyo,time_shinagawa,transfer_shinagawa,time_shinjuku,transfer_shinjuku,time_shibuya,transfer_shibuya,time_ikebukuro,transfer_ikebukuro,time_average,transfer_average
YRP野比,2700505,['京急久里浜線'],神奈川県,横須賀市,239-0841,野比１-９-１,35.212229,139.685068,1,2.7915373377342063,0.1093933969925139,0.16106946920220314,16,0,0,0,11,3,2,2,1,2,0,2,0,39,65,1,51,0,78,1,73,1,92,1,71.8,0.8
あざみ野,2600316,"['東急田園都市線', 'ブルーライン']",神奈川県,横浜市青葉区,225-0011,あざみ野２-１-１,35.568645,139.553462,2,2.302287433966651,0.1175825621089472,0.16688489252431513,23,0,0,0,55,6,1,2,8,1,0,4,0,189,36,1,30,1,27,1,18,0,33,1,28.8,0.8
いずみ中央,2900206,['相鉄いずみ野線'],神奈川県,横浜市泉区,245-0016,和泉町３５４０,35.415385,139.48727,1,3.3760753124492777,0.12168243129525487,0.1803711977008738,11,0,0,1,13,2,1,1,5,2,0,2,1,49,51,1,44,1,56,1,51,1,61,1,52.6,1.0
いずみ野,2900205,['相鉄いずみ野線'],神奈川県,横浜市泉区,245-0016,和泉町５７３６,35.429434,139.495135,1,3.3760753124492777,0.08853135101677655,0.118709410926667,4,0,0,2,13,2,2,1,7,2,1,1,0,22,49,1,42,1,54,1,49,1,59,1,50.6,1.0
おゆみ野,2300505,['京成千原線'],千葉県,千葉市緑区,266-0033,おゆみ野南３-２７-１,35.550029,140.166264,1,3.634270938446014,0.13562011995509224,0.2173323905255831,15,1,0,0,14,4,5,1,4,3,1,2,1,81,80,1,87,1,93,1,100,1,84,1,88.8,1.0
お台場海浜公園,9931106,['ゆりかもめ'],東京都,港区,135-0091,台場２-３,35.629813,139.778607,1,9.902048231894542,0.1287607753251283,0.15876974438188252,2,0,0,0,11,1,1,1,0,1,4,3,5,286,21,1,23,1,31,1,29,1,42,1,29.2,1.0
お花茶屋,2300108,['京成本線'],東京都,葛飾区,124-0005,宝町２-３７-１,35.747585,139.83988,1,6.080200852086075,0.08122432720725117,0.11565033891839427,13,0,0,4,33,13,6,5,8,3,0,3,0,218,24,1,31,1,37,1,44,1,28,1,32.8,1.0
かしわ台,2900117,['相鉄本線'],神奈川県,海老名市,243-0402,柏ケ谷１０２６,35.466744,139.415851,1,5.031108380059913,0.09987867790138252,0.12102156523222064,20,0,0,1,9,1,3,1,3,3,0,0,0,48,58,1,51,1,61,0,54,0,68,1,58.4,0.6
くぬぎ山,9932916,['新京成線'],千葉県,鎌ヶ谷市,273-0128,くぬぎ山５-１-６,35.782343,139.975707,1,5.4353314909518256,0.07687352289422483,0.12318730692577756,8,0,0,1,4,1,1,0,4,1,0,1,0,80,41,1,48,1,94,1,63,2,58,2,60.8,1.4
こどもの国(神奈川県),2600803,['東急こどもの国線'],神奈川県,横浜市青葉区,227-0036,奈良町宇島９９５-１,35.558035,139.486657,1,2.302287433966651,0.09952988454898645,0.20447012359076985,15,0,0,0,18,4,2,1,1,2,0,0,0,35,60,2,54,2,51,2,37,1,57,2,51.8,1.8
さいたま新都心,1131905,"['JR高崎線', 'JR京浜東北線', '宇都宮線']",埼玉県,さいたま市大宮区,330-0843,吉敷町４丁目５７番地３,35.893867,139.633587,3,13.3843883931708,0.09001050769483464,0.12058688029497612,9,0,0,0,45,10,3,3,26,5,3,4,0,303,25,0,31,0,29,1,42,1,24,1,30.2,0.6
さがみ野,2900116,['相鉄本線'],神奈川県,海老名市,243-0401,東柏ケ谷２-３０-２８,35.471485,139.429055,1,5.031108380059913,0.08349125752441783,0.12557340109053694,9,0,0,1,21,7,3,1,11,3,0,4,0,173,55,1,48,1,59,0,52,0,65,1,55.8,0.6
すずかけ台,2600324,['東急田園都市線'],東京都,町田市,194-0001,つくし野３-１,35.517094,139.481684,1,4.921961012887766,0.08180809141782071,0.14582930731415858,10,0,0,1,7,1,2,1,0,1,0,3,1,27,50,1,59,1,41,1,32,0,47,1,45.8,0.8
せんげん台,2100224,['東武伊勢崎線'],埼玉県,越谷市,343-0042,千間台東町,35.935832,139.774478,1,7.472636874885184,0.07306275137260339,0.12189379420517896,16,0,0,3,21,11,4,1,8,4,2,3,0,164,45,1,52,1,60,1,51,0,66,1,54.8,0.8
たまプラーザ,2600315,['東急田園都市線'],神奈川県,横浜市青葉区,225-0002,美しが丘１-３,35.577427,139.558447,1,2.302287433966651,0.1303007331802704,0.1514745958221891,21,0,0,0,67,6,5,1,12,5,1,4,3,329,35,1,29,1,26,1,17,0,32,1,27.8,0.8
つきのわ,2100131,['東武東上線'],埼玉県,滑川町,355-0813,滑川町月輪字中丸１２４７-２,36.04352,139.345541,1,7.028332967274324,0.17012198418037433,0.20276930752192224,0,0,0,0,2,2,1,0,4,1,0,1,0,18,63,1,80,1,56,1,61,1,46,0,61.2,0.8
つきみ野,2600326,['東急田園都市線'],神奈川県,大和市,242-0002,つきみ野５-８-１,35.510546,139.458651,1,4.945861704776707,0.09799281052750165,0.1553855583935186,18,1,0,0,21,4,1,1,5,2,0,2,0,62,54,1,63,1,45,1,36,0,51,1,49.8,0.8
つくし野,2600323,['東急田園都市線'],東京都,町田市,194-0001,つくし野４-１,35.527559,139.485139,1,4.921961012887766,0.08241598743029004,0.14107998602983052,19,0,0,1,22,8,4,2,7,1,0,0,0,43,48,1,57,1,39,1,30,0,45,1,43.8,0.8
つくば,9930920,['つくばエクスプレス'],茨城県,つくば市,305-0031,吾妻２-４-１,36.0825,140.110604,1,6.882179033586972,0.11550034723990549,0.15111650368506202,11,0,0,0,21,4,1,0,2,6,2,3,0,233,51,1,62,1,65,1,77,1,68,1,64.6,1.0
つつじヶ丘,2400114,['京王線'],東京都,調布市,182-0006,西つつじヶ丘三丁目35-1,35.657936,139.575103,1,4.824042503961826,0.07420773940254739,0.08377518320101172,19,0,0,1,45,16,4,3,8,5,1,1,0,312,27,1,37,1,12,0,21,1,22,1,23.8,0.8
ときわ台(東京都),2100106,['東武東上線'],東京都,板橋区,174-0071,常盤台１-４３-１,35.758771,139.689015,1,5.4171797919973805,0.06306370725256238,0.0799933750719915,37,0,0,4,55,21,7,3,5,6,0,3,2,401,24,1,41,1,17,1,22,1,7,0,22.2,0.8
ひばりヶ丘,2200113,['西武池袋線'],東京都,西東京市,202-0005,住吉町三丁目,35.751485,139.545852,1,5.134691918484891,0.08779640576094602,0.11911822824321307,16,0,0,0,31,9,4,2,11,3,1,1,1,239,32,1,51,1,27,1,27,0,15,0,30.4,0.6
ひろせ野鳥の森,9930611,['秩父鉄道秩父本線'],埼玉県,熊谷市,360-0833,広瀬１０４０-１,36.146242,139.352086,1,6.007788992764489,0.08845004909261349,0.1876337664142418,2,0,0,0,4,0,0,0,2,1,0,0,0,24,67,1,76,1,68,1,73,1,63,1,69.4,1.0
ふかや花園,9930637,['秩父鉄道秩父本線'],埼玉県,深谷市,369-1244,黒田113,36.132056,139.251472,1,5.7019282252400725,0.06674865972879215,0.1408766950488804,2,0,0,0,1,0,0,0,3,0,0,0,0,7,83,1,92,1,84,1,89,1,79,1,85.4,1.0
ふじみ野,2100118,['東武東上線'],埼玉県,富士見市,354-0031,大字勝瀬３３４７,35.860735,139.523389,1,5.929585021553717,0.13883192025763616,0.1571937471367065,12,0,0,0,30,12,3,1,16,8,3,6,1,145,38,1,55,1,31,1,34,0,21,0,35.8,0.6
みずほ台,2100116,['東武東上線'],埼玉県,富士見市,354-0015,東みずほ台２-２９-１,35.838233,139.55078,1,5.929585021553717,0.07868398437092823,0.1005555974988344,17,0,0,2,18,7,3,1,15,7,0,1,0,148,37,1,54,1,30,1,35,0,20,0,35.2,0.6
みつわ台,9933208,['千葉都市モノレール２号線'],千葉県,千葉市若葉区,264-0032,みつわ台３-２８,35.6387,140.134873,1,5.838043924330479,0.08291624979065106,0.15373754346042828,18,0,0,0,11,6,3,1,5,2,0,2,0,41,55,1,62,1,90,1,84,2,77,2,73.6,1.4
みどりの,9930917,['つくばエクスプレス'],茨城県,つくば市,305-0875,大字花島新田,36.03025,140.056276,1,6.882179033586972,0.16221133151078473,0.09913317731313906,0,0,0,0,4,3,0,0,4,4,0,2,1,23,48,1,59,1,62,1,74,1,65,1,61.6,1.0
みどり台,2300406,['京成千葉線'],千葉県,千葉市稲毛区,263-0023,緑町１-７-１,35.624994,140.097413,1,7.057303314944585,0.06358886527105832,0.10525845344214363,17,0,0,1,24,4,5,3,6,5,1,4,0,195,65,1,72,1,74,1,85,1,69,1,73.0,1.0
みなとみらい,9931003,['みなとみらい線'],神奈川県,横浜市西区,220-0012,みなとみらい３-５,35.458028,139.632386,1,8.880363739698778,0.07262899716737779,0.059982187956768955,4,0,0,4,55,4,1,0,16,4,6,7,2,767,52,1,27,1,35,1,24,0,35,0,34.6,0.6
みらい平,9930916,['つくばエクスプレス'],茨城県,つくばみらい市,300-2416,東楢戸字細久保１７２２-１,35.99514,140.038555,1,5.311787691305764,0.2465494935466394,0.1092854251706596,0,0,0,0,7,1,0,0,3,2,0,2,0,30,45,1,56,1,59,1,71,1,62,1,58.6,1.0
めじろ台,2400304,['京王高尾線'],東京都,八王子市,193-0833,めじろ台１-１００-１,35.643601,139.308446,1,4.857033521323329,0.07544400869523302,0.12640055155465948,26,0,0,2,17,4,3,1,4,0,0,0,0,86,61,1,67,1,42,0,51,1,52,1,54.6,0.8
ゆめが丘,2900207,['相鉄いずみ野線'],神奈川県,横浜市泉区,245-0017,下飯田町１５５５-９,35.405436,139.482192,1,3.3760753124492777,0.12493716648538422,0.19218551451221466,3,0,0,0,4,1,1,2,1,0,0,0,0,10,53,1,46,1,58,1,53,1,63,1,54.6,1.0
スポーツセンター,9933206,['千葉都市モノレール２号線'],千葉県,千葉市稲毛区,263-0016,天台６-２１２-６,35.643164,140.11611,1,7.057303314944585,0.05568646688360501,0.0950451750497042,14,0,0,0,6,2,2,1,7,2,0,2,0,46,51,1,58,1,86,1,80,2,73,2,69.6,1.4
センター北,9931603,"['ブルーライン', 'グリーンライン']",神奈川県,横浜市都筑区,224-0003,中川中央１-１-１,35.55353,139.578457,2,2.951579921700488,0.14109187281746285,0.23612498798348813,13,1,0,0,47,7,3,0,10,6,5,1,3,225,43,1,35,2,44,2,27,1,39,1,37.6,1.4
センター南,9931604,"['ブルーライン', 'グリーンライン']",神奈川県,横浜市都筑区,224-0032,茅ケ崎中央１-１,35.545476,139.574291,2,2.951579921700488,0.1421139727932898,0.2172116236041136,15,1,0,1,56,7,4,1,10,7,7,2,3,252,42,1,35,1,45,2,28,1,40,1,38.0,1.2
ソシオ流通センター,9930636,['秩父鉄道秩父本線'],埼玉県,熊谷市,360-0022,戸出102番地1,36.1365,139.424333,1,6.007788992764489,,,1,0,0,0,1,1,1,0,0,0,0,2,0,19,65,1,74,1,66,1,71,1,61,1,67.4,1.0
テレコムセンター,9931109,['ゆりかもめ'],東京都,江東区,135-0064,青海２-２９,35.617593,139.779327,1,5.627282381968605,0.1838565022421524,0.0269058295964125,0,0,0,0,7,0,0,0,0,0,2,2,3,130,26,1,28,1,37,1,34,1,36,1,32.2,1.0
ユーカリが丘,2300133,"['京成本線', 'ユーカリが丘線']",千葉県,佐倉市,285-0858,ユーカリが丘４-８-２,35.721801,140.156354,2,4.700733476516595,0.09634989740748329,0.1275166859020341,26,1,0,0,17,4,2,1,5,5,1,1,1,119,59,1,61,0,62,1,72,1,63,1,63.4,0.8
一ノ割,2100226,['東武伊勢崎線'],埼玉県,春日部市,344-0031,一ノ割１丁目,35.96412,139.766219,1,7.0474283332402266,0.07700567589644136,0.14134879708819598,10,0,0,2,7,3,2,1,6,3,0,1,0,110,52,1,59,1,67,1,58,0,73,1,61.8,0.8
一之江,9930418,['都営新宿線'],東京都,江戸川区,134-0003,春江町４-２,35.686055,139.882934,1,5.520344988536587,0.09554254099678186,0.1394712351818973,9,0,0,0,28,11,5,4,3,0,0,2,0,142,22,1,28,1,24,0,33,1,34,1,28.2,0.8
一本松(埼玉県),2100702,['東武越生線'],埼玉県,鶴ヶ島市,350-2226,中新田８０-３,35.94008,139.370062,1,6.092093089459825,0.11389673873874637,0.22679142524513404,3,0,0,0,6,2,2,1,4,0,0,0,1,21,64,2,81,2,57,2,57,1,42,1,60.2,1.6
一橋学園,2201102,['西武多摩湖線'],東京都,小平市,187-0045,学園西町２-１-１,35.72217,139.480039,1,4.610404989342386,0.09166977154837426,0.09831297944150748,7,0,0,1,24,9,3,3,8,1,0,2,1,195,42,1,58,2,27,1,41,2,42,2,42.0,1.6
七光台,2100414,['東武野田線'],千葉県,野田市,278-0042,吉春９３１-５,35.970884,139.852906,1,6.12698019963147,0.153057639429312,0.2152989880540979,5,1,0,0,2,1,1,1,3,1,0,1,0,12,67,1,74,1,58,1,63,1,53,1,63.0,1.0
七里ヶ浜,9932009,['江ノ島電鉄線'],神奈川県,鎌倉市,248-0026,七里ガ浜一丁目9-5,35.306243,139.510101,1,3.121044509562533,0.06669054201907068,0.16486719496722063,23,0,0,3,6,1,1,0,0,1,0,0,0,45,62,1,56,1,67,1,62,1,72,1,63.8,1.0
万博記念公園(茨城県),9930918,['つくばエクスプレス'],茨城県,つくば市,300-2655,島名字白合４３８６,36.05841,140.059256,1,6.882179033586972,0.16525401551195443,0.16217650546135962,0,0,0,0,0,0,0,0,1,1,0,1,0,8,50,1,61,1,64,1,76,1,67,1,63.6,1.0
万願寺,9933408,['多摩モノレール'],東京都,日野市,191-0022,新井１２４,35.671249,139.420079,1,3.7040416999940953,0.09542145148374702,0.13212584050586298,15,0,0,1,10,3,2,0,6,0,0,0,0,19,72,2,78,2,48,1,62,2,63,2,64.6,1.8
三ツ境,2900112,['相鉄本線'],神奈川県,横浜市瀬谷区,246-0022,三ツ境４,35.467779,139.502662,1,4.463712267180475,0.07320587105940592,0.1615051334707978,35,0,0,3,33,10,4,0,21,3,0,0,1,122,44,1,37,1,49,0,42,0,54,1,45.2,0.6
三ツ沢上町,9931611,['ブルーライン'],神奈川県,横浜市神奈川区,221-0856,三ツ沢上町５-９,35.476526,139.605395,1,3.230585104157077,0.07861124314629808,0.1115970868563086,16,1,0,2,14,5,2,1,1,3,0,2,0,49,30,1,23,1,35,1,40,1,40,1,33.6,1.0
三ツ沢下町,9931612,['ブルーライン'],神奈川県,横浜市神奈川区,221-0852,三ツ沢下町２-１６,35.476512,139.61481,1,3.230585104157077,0.06029886425748314,0.07810473835475609,22,0,0,1,30,5,5,5,6,4,0,3,0,128,29,1,22,1,34,1,41,1,39,1,33.0,1.0
三ノ輪,2800303,['東京メトロ日比谷線'],東京都,台東区,110-0011,三ノ輪２-１４-７,35.729623,139.791485,1,12.394420239002793,0.06540687286978977,0.0751787484064531,19,0,0,6,64,13,9,2,20,6,0,6,0,550,19,1,27,1,39,1,34,1,45,1,32.8,1.0
三ノ輪橋,9930501,['都電荒川線'],東京都,荒川区,116-0003,南千住１,35.732248,139.791412,1,5.851204160856292,0.06973450062866329,0.084668049538059,17,0,0,5,65,15,8,2,16,4,1,3,0,449,37,1,47,1,39,1,39,1,30,1,38.4,1.0
三咲,9932910,['新京成線'],千葉県,船橋市,274-0813,南三咲２-２-１,35.749217,140.028514,1,5.626996740997608,0.12115310468553574,0.18479903926591648,7,0,0,2,16,6,1,0,1,5,0,3,0,86,53,1,60,1,82,1,75,2,70,2,68.0,1.4
三崎口,2700509,['京急久里浜線'],神奈川県,三浦市,238-0111,初声町下宮田４９５,35.177515,139.633207,1,3.113338779836164,0.11700923484670706,0.14388726308960145,9,1,0,0,1,0,0,0,0,0,0,1,0,11,71,1,57,0,84,1,79,1,98,1,77.8,0.8
三浦海岸,2700508,['京急久里浜線'],神奈川県,三浦市,238-0101,南下浦町上宮田１４９７,35.188084,139.653138,1,3.113338779836164,0.069683257918552,0.1167420814479638,11,0,0,0,13,5,2,0,3,1,0,3,0,75,69,1,55,0,82,1,77,1,96,1,75.8,0.8
三田(東京都),9930208,['都営浅草線'],東京都,港区,108-0014,芝５-３４-１０,35.64818,139.748775,1,9.902048231894542,0.07025373512445915,0.06522957041144331,8,1,0,2,85,7,2,4,12,6,0,3,0,1066,9,1,3,0,21,1,17,1,21,1,14.2,0.8
三越前,1131402,"['東京メトロ半蔵門線', '東京メトロ銀座線']",東京都,中央区,103-0022,日本橋室町１-８-１,35.687101,139.773594,2,12.52275415595362,0.0463192948927015,0.039141080618372556,12,0,0,1,238,15,5,0,9,5,7,21,3,4561,2,0,9,0,15,1,13,0,19,1,11.6,0.4
三軒茶屋,2600303,"['東急田園都市線', '東急世田谷線']",東京都,世田谷区,154-0004,太子堂４-２１-１,35.643716,139.670156,2,4.683698162165991,0.05072795407084209,0.06130571649093129,27,0,0,4,76,16,7,4,5,5,1,2,0,954,21,1,30,1,12,1,3,0,18,1,16.8,0.8
三郷(埼玉県),1130517,['JR武蔵野線'],埼玉県,三郷市,341-0024,三郷,35.845004,139.886341,1,7.896221094190638,0.10860010972586238,0.1414731301572551,14,0,0,0,19,7,1,0,1,4,0,0,0,120,48,0,59,1,67,1,63,1,65,1,60.4,0.8
三郷中央,9930909,['つくばエクスプレス'],埼玉県,三郷市,341-0032,谷中,35.824514,139.878344,1,7.896221094190638,0.15050977340201846,0.1020609720676191,3,0,0,1,12,6,1,1,5,1,0,3,1,57,28,1,39,1,42,1,54,1,45,1,41.6,1.0
三鷹,1131105,"['JR中央線(快速)', 'JR中央・総武線', 'JR成田エクスプレス', 'JR中央本線(東京～塩尻)']",東京都,三鷹市,181-0013,下連雀三丁目46-1,35.702683,139.560325,4,3.867633842598537,0.06787629559620045,0.07098160047386025,16,0,0,3,83,14,2,1,18,1,1,2,0,555,28,0,39,1,13,0,22,1,23,1,25.0,0.6
三鷹台,2400615,['京王井の頭線'],東京都,三鷹市,181-0001,井の頭１-３２-１,35.692046,139.589298,1,3.867633842598537,0.059557126552848484,0.0835337624490194,16,0,0,1,28,10,4,2,7,0,0,1,0,103,48,1,35,1,26,1,17,0,32,1,31.6,0.8
上中里,1133213,['JR京浜東北線'],東京都,北区,114-0016,上中里１丁目,35.74728,139.745769,1,6.444311531740726,0.057680034216713146,0.07784923569111826,10,0,0,3,50,13,7,6,10,2,1,2,1,287,15,0,25,0,29,1,42,1,20,1,26.2,0.6
上井草,2200712,['西武新宿線'],東京都,杉並区,167-0023,上井草３-３２-１,35.725326,139.602937,1,4.562081003976972,0.08258184682922684,0.10661921589923468,17,0,0,0,29,16,3,2,3,2,0,3,0,137,48,1,42,1,22,1,29,1,23,1,32.8,1.0
上北台,9933419,['多摩モノレール'],東京都,東大和市,207-0023,上北台１-７４２,35.745824,139.415822,1,5.249128081073781,0.09454992343385374,0.13974790136444862,13,0,0,0,13,8,5,3,9,1,0,2,0,81,94,2,100,2,70,1,84,2,85,2,86.6,1.8
上北沢,2400109,['京王線'],東京都,世田谷区,156-0057,上北沢４-１４-３,35.668857,139.62329,1,4.683698162165991,0.06201331721017498,0.07490553909609039,24,0,0,2,41,11,3,0,1,2,1,1,0,243,26,1,35,1,10,0,19,1,20,1,22.0,0.8
上大井,1150503,['JR御殿場線'],神奈川県,大井町,258-0016,郡大井町上大井,35.321883,139.163508,1,3.229026008336758,0.07199001767019253,0.1627336238060405,0,0,0,0,3,2,2,1,3,0,0,1,0,24,73,1,64,1,76,1,71,1,81,1,73.0,1.0
上大岡,2700133,"['京急本線', 'ブルーライン']",神奈川県,横浜市港南区,233-0002,上大岡西１-６-１,35.409418,139.596552,2,4.116141951273779,0.08207838360385035,0.10802026848094837,24,0,0,2,67,7,3,2,13,5,1,6,2,431,38,1,24,0,43,1,47,1,48,1,40.0,0.8
上尾,1132308,['JR高崎線'],埼玉県,上尾市,362-0075,柏座１丁目,35.973522,139.588434,1,5.852679443684613,0.07660030543765177,0.125466012562053,6,0,0,2,32,5,3,0,6,5,0,4,1,304,35,0,42,0,36,0,41,0,31,0,37.0,0.0
上星川,2900107,['相鉄本線'],神奈川県,横浜市保土ヶ谷区,240-0042,上星川町２２,35.467694,139.580078,1,3.1728574695975045,0.07124534681371598,0.1089754931372251,16,0,0,1,20,6,4,1,9,2,0,3,0,105,37,1,30,1,42,1,37,1,47,1,38.6,1.0
上板橋,2100107,['東武東上線'],東京都,板橋区,174-0076,上板橋２-３６-７,35.763596,139.67641,1,5.4171797919973805,0.06348898281710907,0.08214926280915402,41,1,0,6,43,17,4,6,4,2,0,2,2,298,26,1,43,1,19,1,24,1,9,0,24.2,0.8
上永谷,9931624,['ブルーライン'],神奈川県,横浜市港南区,233-0013,丸山台１-１-１,35.401391,139.572713,1,4.116141951273779,0.08497324269049865,0.15834519019704438,31,0,0,3,26,7,4,3,9,2,0,1,0,81,42,1,35,1,47,1,60,1,52,1,47.2,1.0
上熊谷,9930609,['秩父鉄道秩父本線'],埼玉県,熊谷市,360-0822,宮本町,36.142657,139.38134,1,6.007788992764489,0.06398316840578439,0.09180087839008581,7,1,0,2,32,8,2,0,6,3,3,0,2,412,63,1,72,1,64,1,69,1,59,1,65.4,1.0
上町,2600706,['東急世田谷線'],東京都,世田谷区,154-0017,世田谷３-４-３,35.643656,139.646276,1,4.683698162165991,0.07304984311453526,0.09158154416250161,21,0,0,1,49,12,6,5,4,1,0,0,0,327,39,2,43,2,21,1,16,1,36,2,31.0,1.6
上石神井,2200713,['西武新宿線'],東京都,練馬区,177-0044,上石神井１-２-４５,35.726189,139.592266,1,4.674930236295969,0.07716754960232346,0.10439890722178763,11,0,0,0,30,13,2,2,3,4,0,4,0,188,49,1,43,1,23,1,30,1,24,1,33.8,1.0
上福岡,2100119,['東武東上線'],埼玉県,ふじみ野市,356-0004,上福岡１-１-１,35.873855,139.511782,1,5.866450391997837,0.09362981478020677,0.10919580019631683,12,0,0,1,36,11,1,1,10,5,1,4,0,274,42,1,59,1,35,1,40,0,25,0,40.2,0.6
上総一ノ宮,1132413,['JR外房線'],千葉県,一宮町,299-4301,一宮町一宮,35.373401,140.365138,1,4.844055409195208,0.1908406355455309,0.14200496338771107,2,0,0,0,9,5,1,1,1,0,0,1,0,43,72,0,80,0,82,1,95,1,89,1,83.6,0.6
上総三又,9932504,['小湊鉄道線'],千葉県,市原市,290-0207,海士有木２７６-１,35.46592,140.12672,1,5.923773738785972,0.040188883199635865,0.11184140431452257,0,0,0,1,1,0,1,1,1,0,0,0,0,4,67,1,75,1,82,2,99,2,89,2,82.4,1.6
上総村上,9932502,['小湊鉄道線'],千葉県,市原市,290-0031,村上１３５８-２,35.496171,140.100355,1,5.923773738785972,0.0836835758398275,0.1667747575171274,3,0,0,0,1,0,1,0,1,0,0,1,0,14,59,1,67,1,74,2,91,2,81,2,74.4,1.6
上野,1130220,"['東京メトロ銀座線', '東京メトロ日比谷線', 'JR京浜東北線', 'JR山手線', '上野東京ライン', '宇都宮線', 'JR常磐線(上野～取手)', 'JR高崎線']",東京都,台東区,110-0005,上野七丁目1-1,35.71379,139.777043,8,12.394420239002793,0.0608790825586236,0.06255494223663925,9,0,1,3,94,10,5,5,13,5,1,7,1,2321,4,0,10,0,21,1,19,0,17,0,14.2,0.2
上野原,1131115,['JR中央本線(東京～塩尻)'],山梨県,上野原市,409-0113,新田,35.618747,139.115787,1,3.6283007458173753,0.05135747904947765,0.06954808097042049,0,0,0,1,5,1,1,1,1,2,0,5,0,42,74,0,85,1,59,0,68,1,69,1,71.0,0.6
上野広小路,1130221,['東京メトロ銀座線'],東京都,台東区,110-0005,上野３-２９-３,35.70768,139.772877,1,12.394420239002793,0.052361499981945114,0.05047497604054297,11,0,1,4,110,11,5,1,18,5,2,8,1,2939,7,0,17,1,21,1,18,0,18,0,16.2,0.4
上野御徒町,1130221,['都営大江戸線'],東京都,台東区,110-0005,上野５-２６-６,35.707893,139.774332,1,12.394420239002793,0.05529189125832928,0.055166806844383916,11,0,1,4,109,13,5,1,18,6,1,8,1,2846,7,0,17,1,21,1,18,0,18,0,16.2,0.4
上野毛,2600414,['東急大井町線'],東京都,世田谷区,158-0093,上野毛１-２６-６,35.611957,139.638917,1,4.683698162165991,0.08902767349630072,0.11954287592022432,15,0,0,1,38,14,3,2,2,1,1,2,0,269,36,1,26,1,37,1,18,1,29,1,29.2,1.0
下丸子,2600604,['東急多摩川線'],東京都,大田区,146-0092,下丸子３-７-１,35.571397,139.685576,1,5.695304023807598,0.07247415088727041,0.1015481264416218,27,0,0,1,60,18,3,2,6,2,0,1,0,267,31,1,20,1,35,2,19,1,30,1,27.0,1.2
下井草,2200710,['西武新宿線'],東京都,杉並区,167-0022,下井草２-４４-１０,35.723852,139.624688,1,4.562081003976972,0.07439542282347862,0.0982220633207674,25,0,0,0,26,9,5,3,5,2,0,1,0,137,45,1,39,1,19,1,26,1,20,1,29.8,1.0
下北沢,2400605,"['小田急線', '京王井の頭線']",東京都,世田谷区,155-0031,北沢２丁目,35.661539,139.66691,2,4.683698162165991,0.039726886659514425,0.06004006861652244,18,0,0,1,61,15,6,3,1,5,0,0,0,898,22,1,23,1,7,0,5,0,17,1,14.8,0.6
下山口,2200502,['西武狭山線'],埼玉県,所沢市,359-1145,山口１２５４-３,35.77941,139.441097,1,5.675909114945973,0.08464697189322756,0.14762924960553417,15,0,0,1,5,3,3,1,2,2,0,2,0,38,50,1,67,1,43,1,48,1,33,0,48.2,0.8
下曽我,1150502,['JR御殿場線'],神奈川県,小田原市,250-0206,曽我原,35.303554,139.183395,1,3.859114001009862,0.08885318346764484,0.15820011519293345,3,1,0,1,4,1,2,0,4,0,0,1,0,15,70,1,61,1,73,1,68,1,78,1,70.0,1.0
下板橋,2100103,['東武東上線'],東京都,豊島区,170-0011,池袋本町４-４３-１１,35.745721,139.714785,1,10.96621526477932,0.0520787127011518,0.060645190462619354,22,0,0,1,70,20,9,2,14,4,0,6,0,564,19,1,36,1,12,1,17,1,2,0,17.2,0.8
下永谷,9931625,['ブルーライン'],神奈川県,横浜市港南区,233-0015,日限山１-５８-２７,35.402677,139.559389,1,4.116141951273779,0.06900292007684085,0.14798709744656552,23,0,0,2,22,9,4,0,1,2,0,1,0,53,45,1,38,1,50,1,61,1,55,1,49.8,1.0
下溝,1130913,['JR相模線'],神奈川県,相模原市南区,252-0335,下溝1364,35.518516,139.380428,1,4.327755337564916,,,1,0,0,2,2,1,0,1,0,0,0,0,0,3,87,1,81,1,55,1,88,1,98,1,81.8,1.0
下神明,2600402,['東急大井町線'],東京都,品川区,141-0033,西品川１-２９-６,35.608704,139.726256,1,5.296558141939486,0.06112381097036884,0.07662341836605592,11,0,0,1,75,20,9,6,7,5,2,2,0,832,19,1,9,1,20,1,22,1,33,1,20.6,1.0
下総中山,1131329,['JR中央・総武線'],千葉県,船橋市,273-0035,本中山２丁目,35.714276,139.943092,1,5.626996740997608,0.07231318340838794,0.1063447728338313,34,0,0,1,33,5,3,2,3,6,1,2,1,250,37,1,43,1,45,0,52,1,55,1,46.4,0.8
下落合,2200703,['西武新宿線'],東京都,新宿区,161-0033,下落合１-１６-１,35.715846,139.695391,1,14.20733900947356,0.0552687456429657,0.06225151551946642,39,0,0,2,67,18,7,2,9,5,0,4,0,661,37,1,31,1,11,1,18,1,12,1,21.8,1.0
下赤塚,2100109,['東武東上線'],東京都,板橋区,175-0093,赤塚新町１-２３-１,35.770558,139.644482,1,5.4171797919973805,0.0727186900300534,0.09115005367287611,24,0,0,2,38,16,5,1,5,1,0,1,0,204,25,1,45,1,20,1,19,0,8,0,23.4,0.6
