,station_g_cd,line,pref,mun,post,address,lat,lon,line_num,crime_rate,census_0~6age_rate,census_6~18age_rate,city_park_small,city_park_middle,city_park_large,med_hospital,med_clinic_all,med_clinic_pediatrics,school_primary,school_junior_high,education_nursery,shopping_supermarket,shopping_shopping_mall,shopping_convenience_store,shopping_baby_goods_store,restaurant_num,time_tokyo,transfer_tokyo,time_shinagawa,transfer_shinagawa,time_shinjuku,transfer_shinjuku,time_shibuya,transfer_shibuya,time_ikebukuro,transfer_ikebukuro,time_average,transfer_average
大倉山(神奈川県),2600115,['東急東横線'],神奈川県,横浜市港北区,222-0037,大倉山一丁目1-1,35.52243,139.629808,1,3.1989819043966388,0.08725174814641637,0.10441020661133184,33,0,0,1,35,10,3,1,13,4,0,2,0,200,52,1,20,1,32,1,21,0,35,0,32.0,0.6
大口,1130602,['JR横浜線'],神奈川県,横浜市神奈川区,221-0002,大口通,35.492375,139.646288,1,3.230585104157077,0.08098555193061793,0.1053047848977227,44,0,0,3,29,8,4,4,7,5,1,4,1,197,33,1,26,1,38,1,25,1,36,1,31.6,1.0
大和(神奈川県),2500206,['小田急江ノ島線'],神奈川県,大和市,242-0016,大和南１-１-１,35.46965,139.461553,1,4.945861704776707,0.07281362030739323,0.1107160168440535,21,0,0,1,39,8,2,1,12,3,1,2,0,355,49,1,42,1,40,0,43,0,50,1,44.8,0.6
大塚(東京都),1130213,['JR山手線'],東京都,豊島区,170-0005,南大塚三丁目33-1,35.731412,139.728584,1,10.96621526477932,0.05059758577089959,0.056881341338428884,16,0,0,5,102,31,5,4,14,7,3,6,1,1069,23,0,31,0,11,0,16,1,2,0,16.6,0.2
大塚・帝京大学,9933403,['多摩モノレール'],東京都,八王子市,192-0352,大塚１４７３,35.636878,139.416461,1,4.857033521323329,0.04319098113253124,0.09712484252958724,30,1,0,0,5,4,4,1,2,1,0,1,0,39,60,2,66,2,36,1,50,2,51,2,52.6,1.8
大塚駅前,1130213,['都電荒川線'],東京都,豊島区,170-0005,南大塚３,35.732082,139.729593,1,10.96621526477932,0.06147089678803228,0.06714890752132295,14,0,0,5,102,28,6,3,13,6,3,5,1,1054,23,0,31,0,11,0,16,1,2,0,16.6,0.2
大宮(埼玉県),1131906,['宇都宮線'],埼玉県,さいたま市大宮区,330-0853,錦町,35.906439,139.62405,1,13.3843883931708,0.06088104569900591,0.07119725549710565,12,0,0,2,112,5,3,2,27,3,1,10,2,1343,27,0,33,0,28,0,33,0,23,0,28.8,0.0
大山(東京都),2100104,['東武東上線'],東京都,板橋区,173-0023,大山町４-１,35.748398,139.702589,1,5.4171797919973805,0.05628792142749478,0.06464803384411934,20,0,0,4,57,14,10,3,9,4,0,9,0,637,21,1,38,1,14,1,19,1,4,0,19.2,0.8
大岡山,2600206,"['東急目黒線', '東急大井町線']",東京都,大田区,145-0062,北千束３-２７-１,35.607456,139.685909,2,5.695304023807598,0.0650845086630648,0.08951020861412494,17,1,0,3,49,16,6,4,7,3,0,0,0,244,22,1,14,1,25,1,14,1,25,1,20.0,1.0
大島(東京都),9930415,['都営新宿線'],東京都,江東区,136-0072,大島５-１０-８,35.689905,139.83565,1,5.627282381968605,0.07107211076379326,0.09321697853609302,21,1,0,1,64,20,10,6,13,5,0,1,1,393,15,1,21,1,15,0,24,1,25,1,20.0,0.8
大崎,1130201,"['りんかい線', 'JR埼京線', 'JR湘南新宿ライン', 'JR山手線']",東京都,品川区,141-0032,大崎一丁目21-4,35.619772,139.728439,4,5.296558141939486,0.07042919320914198,0.07001241774530678,13,0,0,3,82,11,5,5,8,7,4,8,1,931,16,0,3,0,10,0,5,0,15,0,9.8,0.0
