,code,都道府県,市区町村,総人口,刑法犯総数,犯罪率(件/1000人)
193,19213,山梨県,甲州市,31671,146,4.609895487985855
194,19214,山梨県,中央市,31124,187,6.008225163860686
195,19346,山梨県,市川三郷町,15673,42,2.6797677534613666
196,19368,山梨県,富士川町,15294,54,3.5307963907414672
197,19364,山梨県,早川町,1068,5,4.681647940074907
198,19365,山梨県,身延町,12669,43,3.3941116110190226
199,19366,山梨県,南部町,8067,9,1.1156563778356265
200,19384,山梨県,昭和町,19505,268,13.740066649577031
201,19422,山梨県,道志村,1743,7,4.016064257028112
202,19423,山梨県,西桂町,4342,14,3.2243205895900506
203,19424,山梨県,忍野村,8968,11,1.2265834076717217
204,19425,山梨県,山中湖村,5208,16,3.0721966205837172
205,19429,山梨県,鳴沢村,2921,7,2.3964395754878467
206,19430,山梨県,富士河口湖町,25329,97,3.8296024319949464
207,19442,山梨県,小菅村,726,0,0.0
208,19443,山梨県,丹波山村,563,1,1.7761989342806395
209,13101,東京都,千代田区,58406,1908,32.66787658802178
210,13102,東京都,中央区,141183,1768,12.52275415595362
211,13103,東京都,港区,243283,2409,9.902048231894542
212,13104,東京都,新宿区,333560,4739,14.207339009473559
213,13105,東京都,文京区,219724,912,4.1506617392729055
214,13106,東京都,台東区,198073,2455,12.394420239002791
215,13107,東京都,墨田区,256274,1896,7.3983314733449355
216,13108,東京都,江東区,498109,2803,5.627282381968605
217,13109,東京都,品川区,386855,2049,5.296558141939486
218,13110,東京都,目黒区,277622,1444,5.201316898516688
219,13111,東京都,大田区,717082,4084,5.695304023807598
220,13112,東京都,世田谷区,903346,4231,4.683698162165991
221,13113,東京都,渋谷区,224533,3471,15.458752165605947
222,13114,東京都,中野区,328215,2058,6.2702801517298115
223,13115,東京都,杉並区,563997,2573,4.562081003976972
224,13116,東京都,豊島区,291167,3193,10.96621526477932
225,13117,東京都,北区,341076,2198,6.444311531740726
226,13118,東京都,荒川区,212264,1242,5.851204160856292
227,13119,東京都,板橋区,561916,3044,5.4171797919973805
228,13120,東京都,練馬区,721722,3374,4.674930236295969
229,13121,東京都,足立区,670122,3693,5.510936814490496
230,13122,東京都,葛飾区,442913,2693,6.080200852086075
231,13123,東京都,江戸川区,681298,3761,5.520344988536587
232,13201,東京都,八王子市,577513,2805,4.857033521323329
233,13202,東京都,立川市,176295,1243,7.050682095351542
234,13203,東京都,武蔵野市,144730,1193,8.242935120569335
235,13204,東京都,三鷹市,186936,723,3.867633842598537
236,13205,東京都,青梅市,137381,594,4.3237420021691495
237,13206,東京都,府中市,260274,1117,4.291631127196723
238,13207,東京都,昭島市,111539,625,5.603421224863053
239,13208,東京都,調布市,229061,1105,4.824042503961826
240,13209,東京都,町田市,432348,2128,4.921961012887766
241,13210,東京都,小金井市,121396,603,4.967214735246631
242,13211,東京都,小平市,190005,876,4.610404989342386
243,13212,東京都,日野市,186283,690,3.7040416999940953
244,13213,東京都,東村山市,149956,615,4.101203019552401
245,13214,東京都,国分寺市,122742,574,4.676475859933845
246,13215,東京都,国立市,73655,331,4.493924377163804
247,13218,東京都,福生市,58395,300,5.137426149499101
248,13219,東京都,狛江市,80249,310,3.862976485688295
249,13220,東京都,東大和市,85157,447,5.249128081073781
250,13221,東京都,清瀬市,74864,362,4.835434921991879
251,13222,東京都,東久留米市,116632,557,4.775704780849167
252,13223,東京都,武蔵村山市,71229,382,5.362984177792753
253,13224,東京都,多摩市,146631,568,3.873669278665494
254,13225,東京都,稲城市,87636,304,3.4688940618010866
255,13227,東京都,羽村市,55833,307,5.498540289792775
256,13228,東京都,あきる野市,80954,264,3.261111248363268
257,13229,東京都,西東京市,200012,1027,5.134691918484891
258,13303,東京都,瑞穂町,33445,482,14.411720735535955
259,13305,東京都,日の出町,17446,144,8.254041040926287
260,13307,東京都,檜原村,2209,14,6.337709370755999
261,13308,東京都,奥多摩町,5234,34,6.495987772258311
262,13361,東京都,大島町,7884,7,0.8878741755454084
263,13363,東京都,新島村,2749,6,2.1826118588577663
264,13364,東京都,神津島村,1891,1,0.5288207297726071
265,13381,東京都,三宅村,2482,8,3.2232070910556003
266,13401,東京都,八丈町,7613,38,4.991461972941022
267,13421,東京都,小笠原村,3022,7,2.316346790205162
268,22101,静岡県,葵区,253593,1383,5.453620565236422
269,22102,静岡県,駿河区,212419,1078,5.074875599640333
270,22103,静岡県,清水区,238977,834,3.4898755947225046
271,22131,静岡県,中区,237443,1355,5.706632749754678
272,22132,静岡県,東区,128555,645,5.017307767103574
273,22133,静岡県,西区,111353,320,2.8737438596176124
274,22134,静岡県,南区,100870,386,3.826707643501537
275,22135,静岡県,北区,93567,218,2.3298812615558906
276,22136,静岡県,浜北区,95900,323,3.368091762252346
277,22137,静岡県,天竜区,30292,70,2.3108411461772085
278,22203,静岡県,沼津市,195633,1152,5.888577080553894
279,22205,静岡県,熱海市,37544,194,5.167270402727467
280,22206,静岡県,三島市,110046,345,3.135052614361267
281,22207,静岡県,富士宮市,130770,483,3.69350768524891
282,22208,静岡県,伊東市,68345,258,3.774965249835394
283,22209,静岡県,島田市,98112,295,3.0067677756033917
284,22210,静岡県,富士市,248399,1114,4.484720147826682
285,22211,静岡県,磐田市,167210,744,4.449494647449315
286,22212,静岡県,焼津市,139462,442,3.169322109248397
287,22213,静岡県,掛川市,114602,403,3.5165180363344444
288,22214,静岡県,藤枝市,143605,468,3.2589394519689425
289,22215,静岡県,御殿場市,88078,472,5.358886441563159
290,22216,静岡県,袋井市,85789,444,5.1754886990173565
291,22219,静岡県,下田市,22916,105,4.581951474951999
292,22220,静岡県,裾野市,52737,172,3.2614672810360847
293,22221,静岡県,湖西市,59789,239,3.9973908243991367
294,22222,静岡県,伊豆市,31317,99,3.161222339304531
295,22223,静岡県,御前崎市,32578,61,1.8724292467309227
296,22224,静岡県,菊川市,46763,106,2.266749353121057
297,22225,静岡県,伊豆の国市,48152,187,3.8835354710084733
298,22226,静岡県,牧之原市,45547,156,3.42503348189782
299,22301,静岡県,東伊豆町,12624,62,4.91128010139417
300,22302,静岡県,河津町,7303,31,4.244830891414487
