,code,都道府県,市区町村,総人口,刑法犯総数,犯罪率(件/1000人)
55,20412,長野県,売木村,575,0,0.0
56,20413,長野県,天龍村,1365,3,2.197802197802198
57,20414,長野県,泰阜村,1702,3,1.7626321974148063
58,20422,長野県,上松町,4670,9,1.9271948608137046
59,20423,長野県,南木曽町,4313,10,2.318571759795966
60,20425,長野県,木祖村,2926,2,0.6835269993164731
61,20429,長野県,王滝村,839,1,1.1918951132300357
62,20430,長野県,大桑村,3825,1,0.26143790849673204
63,20432,長野県,木曽町,11826,27,2.28310502283105
64,20215,長野県,塩尻市,67135,204,3.038653459447382
65,20451,長野県,朝日村,4462,10,2.2411474675033616
66,20202,長野県,松本市,243293,1055,4.336335200766155
67,20450,長野県,山形村,8395,19,2.2632519356759975
68,20220,長野県,安曇野市,95282,324,3.4004324006632944
69,20446,長野県,麻績村,2788,8,2.8694404591104736
70,20448,長野県,生坂村,1843,6,3.255561584373304
71,20452,長野県,筑北村,4730,9,1.9027484143763214
72,20212,長野県,大町市,28041,93,3.3165721621910773
73,20481,長野県,池田町,9926,13,1.309691718718517
74,20482,長野県,松川村,9948,34,3.417772416566144
75,20485,長野県,白馬村,8929,40,4.4797849703214245
76,20486,長野県,小谷村,2904,18,6.198347107438017
77,11101,埼玉県,西区,87146,445,5.106373212769376
78,11102,埼玉県,北区,143446,803,5.597925351700291
79,11103,埼玉県,大宮区,113864,1524,13.3843883931708
80,11104,埼玉県,見沼区,161960,853,5.266732526549765
81,11105,埼玉県,中央区,98762,629,6.36884631740953
82,11106,埼玉県,桜区,97910,618,6.311919109386171
83,11107,埼玉県,浦和区,154416,807,5.226142368666459
84,11108,埼玉県,南区,180152,942,5.228917802744349
85,11109,埼玉県,緑区,116522,711,6.101852010779081
